14.961,14.946,14.857,15.676,14.007,15.324
15.215,15.181,15.334,15.386,15.523,14.4
14.98,15.073,14.785,15.031,15.217,14.686
15.154,15.178,15,14.902,15.003,15.342
14.993,15.142,15.193,14.505,14.275,16.101
15.176,15.347,15.199,14.883,14.807,13.471
14.975,15.045,14.73,15.973,15.17,16.143
15.231,15.256,15.576,15.337,14.527,15.373
14.992,14.861,14.695,14.613,14.761,13.111
15.204,14.988,15.386,14.912,15.367,16.252
15.172,15.344,14.765,15.525,15.535,16.347
14.986,14.915,15.119,14.484,14.74,15.603
14.987,14.713,15.197,14.029,16.329,14.334
15.208,15.21,15.354,14.955,15.41,14.497
14.959,14.906,14.826,14.784,14.397,15.953
14.969,14.844,15.154,15.453,16.022,14.542
15.179,15.305,15.122,15.231,14.699,14.764
14.983,15.075,14.993,14.473,15.264,13.827
14.972,15.086,14.878,16.034,14.452,14.603
14.981,14.968,14.831,15.791,14.072,14.284
14.954,14.87,14.712,14.375,14.667,16.319
15.206,15.079,15.362,15.849,16.099,15.707
15.174,15.299,15.154,15.426,15.123,15.343
15.025,15.2,15.071,14.788,16.053,13.003
15.22,15.163,14.879,16.356,14.465,15.891
15.178,15.275,15.679,15.288,15.119,15.128
15.198,15.257,14.864,15.452,14.487,15.045
15.254,15.285,15.39,16.288,15.562,15.298
14.975,14.805,14.805,14.261,14.953,14.14
15.165,15.193,15.351,15.045,15.914,14.522
15.18,15.135,14.972,15.339,15.531,14.804
15.164,15.129,14.576,14.911,14.539,12.998
14.98,14.948,15.026,15.05,14.923,14.633
14.979,15.04,14.457,15.387,14.649,14.636
22.839,23.001,23.26,22.872,22.782,24.752
14.976,14.897,14.849,14.331,14.362,15.671
15.127,15.13,15.07,15.656,16.307,13.522
14.982,15.04,14.854,14.571,15.177,14.884
15.158,15.066,14.986,14.64,15,15.276
15.179,15.169,15.319,14.818,15.804,16.134
15.195,15.171,15.164,15.663,15.495,14.952
14.977,15.078,15.06,14.207,14.406,14.696
14.969,15.025,14.727,15.116,14.556,15.026
14.985,14.95,15.379,14.93,13.988,15.665
14.991,15.152,15.31,15.74,14.493,14.505
15.163,15.142,15.346,15.877,15.696,13.162
14.982,15.069,14.945,14.52,13.953,14.336
15.02,15.221,15.061,14.939,15.786,14.566
15.191,14.998,15.206,14.584,15.078,17.11
14.962,15.002,15.084,14.965,15.484,14.879
15.213,15.223,15.241,15.141,15.291,16.235
15.116,15.3,15.15,15.355,15.333,15.05
14.972,14.957,14.943,14.466,14.185,15.696
15.192,15.303,15.122,14.257,15.403,14.934
15.225,15.354,15.587,14.901,13.97,14.649
